,label_2,sentiment,sentiment_2,Interest_rate,change_of_rate
1997-03-01,1.0,0.5324373981894006,-1.0,5.94,0.0
1997-04-01,1.0,0.5324373981894008,-1.0,5.94,0.0
1997-05-01,1.0,0.5324373981894008,-1.0,5.94,0.3099999999999996
1997-06-01,1.0,0.5324373981894008,-1.0,6.25,0.25
1997-07-01,1.0,0.5436971278947584,-0.9732109608332966,6.5,0.25
1997-08-01,1.0,0.88784525729352,-0.17568892189142557,6.75,0.25
1997-09-01,1.0,1.4336116619491586,0.4512896930719677,7.0,0.0
1997-10-01,1.0,1.9550216332796966,0.6887292136476657,7.0,0.0
1997-11-01,1.0,2.0313819485552655,0.8067720233036633,7.0,0.25
1997-12-01,1.0,1.893956579981914,0.874794012833347,7.25,0.0
1998-01-01,1.0,1.8222672732470824,0.8955694230190879,7.25,0.0
1998-02-01,1.0,1.2394475685005073,0.28482623041413907,7.25,0.0
1998-03-01,1.0,0.7356672339882805,-0.09957910502908965,7.25,0.0
1998-04-01,1.0,0.8463526473262478,0.2139821031522814,7.25,0.0
1998-05-01,1.0,0.6307016518022449,-0.14390804535124568,7.25,0.0
1998-06-01,1.0,0.520567763827432,-0.11046835455755306,7.25,0.25
1998-07-01,0.9801306622820186,0.32565478960967587,-0.3776854124157202,7.5,0.0
1998-08-01,0.4039198684605604,0.06594059191231327,-0.5587766855064352,7.5,0.0
1998-09-01,0.38676093598662514,0.0647760196891415,-0.5641693872050177,7.5,0.0
1998-10-01,-0.1381478809774906,0.022601219087294046,-0.7291374977295602,7.5,-0.25
1998-11-01,-0.4383302711046198,-0.1955233605877647,-0.8234786863543243,7.25,-0.5
1998-12-01,-0.625310159714226,-0.4481172492626347,-0.8822426429371402,6.75,-0.5
1999-01-01,-0.7451191391417398,-0.612020498736253,-0.9198961559307731,6.25,-0.25
1999-02-01,-0.8251596560523198,-0.6643230435820586,-0.9450512541371895,6.0,-0.5
1999-03-01,-0.8794569063196777,-0.8292668516698944,-0.9621157699041177,5.5,0.0
1999-04-01,-0.9155264796656121,-0.851319330923431,-0.9734516994408321,5.5,-0.25
1999-05-01,-0.9409063324108755,-0.6470463363073389,-0.9814280683214167,5.25,0.0
1999-06-01,-0.9585082589398932,-0.5253651501202198,-0.986959993995438,5.25,-0.25
1999-07-01,-0.9511098695515838,-0.4624888889800544,-0.9809556911353564,5.0,0.0
1999-08-01,-0.37172573663940406,-0.17124372180747482,-0.6800371548838382,5.0,0.0
1999-09-01,0.037490953016159616,0.36716375054263856,-0.17884422348617937,5.0,0.25
1999-10-01,0.3255688494575953,0.5940681627435916,0.16407370560686899,5.25,0.0
1999-11-01,0.52591817269392,0.7088857887440214,0.12014593711797442,5.25,0.25
1999-12-01,0.667466233680728,0.833529118532979,0.22861421374967592,5.5,0.0
2000-01-01,0.7660815174979989,0.773096539745503,0.16273976003577448,5.5,0.25
2000-02-01,0.8357997190260164,0.8661951862319156,0.17191647745176025,5.75,0.25
2000-03-01,0.8849426748604358,0.7686134318857805,0.11843160720860073,6.0,0.0
2000-04-01,0.9092363368589863,0.689360651905785,0.02089123951317865,6.0,0.0
2000-05-01,0.6393854620860081,0.5023197112199731,-0.16732207859982012,6.0,0.0
2000-06-01,0.45057004001326023,0.3266763761270225,-0.41321824375016886,6.0,0.0
2000-07-01,0.3166006933997719,0.2717699780836573,-0.587687830070625,6.0,0.0
2000-08-01,0.21339142903803066,0.10814164942055507,-0.709604169051698,6.0,0.0
2000-09-01,-0.14751034315796538,0.023205120889767207,-0.7959772614598584,6.0,0.0
2000-10-01,-0.4021255961872023,-0.1243746004330293,-0.8503171450259306,6.0,0.0
2000-11-01,-0.5794711260126114,0.013212014790786946,-0.7033761161461919,6.0,0.0
2000-12-01,-0.7049000259890266,-0.05161398263940268,-0.7918485368523878,6.0,0.0
2001-01-01,-0.7923504186393185,-0.18343177328303378,-0.8535324703871112,6.0,0.0
2001-02-01,-0.8542077237246609,-0.3246241111618457,-0.8971640857508024,6.0,-0.25
2001-03-01,-0.8978544315374188,-0.6051350771945251,-0.9279506899287623,5.75,0.0
2001-04-01,-0.9276388732332066,-0.5945503681579076,-0.9489594180345217,5.75,-0.25
2001-05-01,-0.9489888130557418,-0.6260437805925991,-0.9640187931736351,5.5,-0.25
2001-06-01,-0.9639903888887152,-0.6378603386894658,-0.9714146597069546,5.25,0.0
2001-07-01,-0.9746660343482728,-0.6150166577195763,-0.8794266902757697,5.25,0.0
2001-08-01,-0.9821416257761396,-0.6263552541802534,-0.7722547121747024,5.25,-0.25
2001-09-01,-0.987445611183029,-0.8339637238875877,-0.839895678142323,5.0,-0.25
2001-10-01,-0.9911914629969368,-1.0398012010181585,-0.8876659896396412,4.75,-0.25
2001-11-01,-0.9938024470975597,-1.0093423007203197,-0.9209634957871489,4.5,-0.5
2001-12-01,-0.9956500331187037,-1.0344051064155682,-0.9445254956026301,4.0,0.0
2002-01-01,-0.987332297178511,-0.9012014180577922,-0.9609591066235602,4.0,0.0
2002-02-01,-0.6932858981419776,-0.6160798562821826,-0.9677675445010344,4.0,0.0
2002-03-01,-0.48576869503552045,-0.46604582818416146,-0.8329715508855292,4.0,0.0
2002-04-01,-0.3441416809655643,-0.49225777525449427,-0.8769141031099446,4.0,0.0
2002-05-01,-0.24261246515737714,-0.4852415935889192,-0.7657163161739645,4.0,0.0
2002-06-01,-0.17126837144607965,-0.360524435580187,-0.6859854167566285,4.0,0.0
2002-07-01,-0.12049520892243366,-0.06557287432429006,-0.5880016837821113,4.0,0.0
