DATE,GBP3MTD156N
1995-01-01,6.6357890476190476
1995-02-01,6.8040710526315789
1995-03-01,6.7255434782608696
1995-04-01,6.7486983333333333
1995-05-01,6.7779019047619048
1995-06-01,6.7148436363636364
1995-07-01,6.8768600000000000
1995-08-01,6.8757109090909091
1995-09-01,6.7953871428571429
1995-10-01,6.8178277272727273
1995-11-01,6.7208809090909091
1995-12-01,6.5493426315789474
1996-01-01,6.4419390909090909
1996-02-01,6.2455357142857143
1996-03-01,6.1398809523809524
1996-04-01,6.0822373684210526
1996-05-01,6.1175595238095238
1996-06-01,5.9347655000000000
1996-07-01,5.8216717391304348
1996-08-01,5.8381695238095238
1996-09-01,5.8636528571428571
1996-10-01,6.0195317391304348
1996-11-01,6.3869047619047619
1996-12-01,6.4279315000000000
1997-01-01,6.4089145454545455
1997-02-01,6.2884770000000000
1997-03-01,6.2937910526315789
1997-04-01,6.4543677272727273
1997-05-01,6.5316410000000000
1997-06-01,6.6646209523809524
1997-07-01,7.0414413043478261
1997-08-01,7.2400395000000000
1997-09-01,7.2968750000000000
1997-10-01,7.3561482608695652
1997-11-01,7.6261725000000000
1997-12-01,7.7211680952380952
1998-01-01,7.5805433333333333
1998-02-01,7.5439455000000000
1998-03-01,7.5645471428571429
1998-04-01,7.5337885000000000
1998-05-01,7.4860200000000000
1998-06-01,7.7139563636363636
1998-07-01,7.8062165217391304
1998-08-01,7.7333985000000000
1998-09-01,7.4676850000000000
1998-10-01,7.2229100000000000
1998-11-01,6.9744795238095238
1998-12-01,6.4712661904761905
1999-01-01,5.9049155000000000
1999-02-01,5.5319710000000000
1999-03-01,5.4228682608695652
1999-04-01,5.3186590000000000
1999-05-01,5.3483884210526316
1999-06-01,5.2211445454545455
1999-07-01,5.1668831818181818
1999-08-01,5.2563400000000000
1999-09-01,5.4106968181818182
1999-10-01,6.0256400000000000
1999-11-01,5.8724954545454545
1999-12-01,6.0528445000000000
2000-01-01,6.1392125000000000
2000-02-01,6.2378133333333333
2000-03-01,6.2283834782608696
2000-04-01,6.2951050000000000
2000-05-01,6.3028285714285714
2000-06-01,6.2268250000000000
2000-07-01,6.1924709523809524
2000-08-01,6.2181109090909091
2000-09-01,6.2056923809523810
2000-10-01,6.1627418181818182
2000-11-01,6.0862936363636364
2000-12-01,5.9649752631578947
2001-01-01,5.8433600000000000
2001-02-01,5.7565475000000000
2001-03-01,5.5512586363636364
2001-04-01,5.4049342105263158
2001-05-01,5.2468271428571429
2001-06-01,5.2585419047619048
2001-07-01,5.2543613636363636
2001-08-01,4.9965981818181818
2001-09-01,4.7294615000000000
2001-10-01,4.4282130434782609
2001-11-01,3.9967481818181818
2001-12-01,4.0485294736842105
2002-01-01,4.0440659090909091
2002-02-01,4.0526775000000000
2002-03-01,4.1277290000000000
2002-04-01,4.1725438095238095
2002-05-01,4.1547522727272727
2002-06-01,4.1761283333333333
2002-07-01,4.0605373913043478
2002-08-01,3.9855090476190476
2002-09-01,3.9887204761904762
2002-10-01,3.9640082608695652
2002-11-01,3.9714219047619048
2002-12-01,4.0162810000000000
2003-01-01,3.9808200000000000
2003-02-01,3.7542490000000000
2003-03-01,3.6550295238095238
2003-04-01,3.6446265000000000
2003-05-01,3.6349620000000000
2003-06-01,3.6396590476190476
2003-07-01,3.4902243478260870
2003-08-01,3.5203050000000000
2003-09-01,3.6967040909090909
2003-10-01,3.8033834782608696
2003-11-01,3.9804305000000000
2003-12-01,4.0171880952380952
2004-01-01,4.0561619047619048
2004-02-01,4.1665390000000000
2004-03-01,4.2967265217391304
2004-04-01,4.3941885000000000
2004-05-01,4.5269421052631579
2004-06-01,4.7897445454545455
2004-07-01,4.8570172727272727
2004-08-01,4.9629766666666667
2004-09-01,4.9469045454545455
2004-10-01,4.9007152380952381
2004-11-01,4.8835940909090909
2004-12-01,4.8700595238095238
2005-01-01,4.8725645000000000
2005-02-01,4.8906885000000000
2005-03-01,4.9875900000000000
2005-04-01,4.9433652380952381
2005-05-01,4.8927525000000000
2005-06-01,4.8414363636363636
2005-07-01,4.6579395238095238
2005-08-01,4.5950027272727273
2005-09-01,4.5968613636363636
2005-10-01,4.5870104761904762
2005-11-01,4.6184672727272727
2005-12-01,4.6372995000000000
2006-01-01,4.6019809523809524
2006-02-01,4.5819895000000000
2006-03-01,4.5874130434782609
2006-04-01,4.6303144444444444
2006-05-01,4.7032171428571429
2006-06-01,4.7349850000000000
2006-07-01,4.7332166666666667
2006-08-01,4.9429986363636364
2006-09-01,5.0250142857142857
2006-10-01,5.1317640909090909
2006-11-01,5.2254418181818182
2006-12-01,5.2899363157894737
2007-01-01,5.4937813636363636
2007-02-01,5.5657015000000000
2007-03-01,5.5494618181818182
2007-04-01,5.6501994736842105
2007-05-01,5.7667228571428571
2007-06-01,5.8801809523809524
2007-07-01,6.0239563636363636
2007-08-01,6.4106827272727273
2007-09-01,6.6469375000000000
2007-10-01,6.2701378260869565
2007-11-01,6.4085813636363636
2007-12-01,6.3908231578947368
2008-01-01,5.6444609090909091
2008-02-01,5.6420247619047619
2008-03-01,5.8900015789473684
2008-04-01,5.9188081818181818
2008-05-01,5.8252215000000000
2008-06-01,5.9294361904761905
2008-07-01,5.8322034782608696
2008-08-01,5.7665650000000000
2008-09-01,5.9105977272727273
2008-10-01,6.1330434782608696
2008-11-01,4.4468440000000000
2008-12-01,3.2010423809523810
2009-01-01,2.3224119047619048
2009-02-01,2.0903780000000000
2009-03-01,1.8313940909090909
2009-04-01,1.5311710000000000
2009-05-01,1.3567784210526316
2009-06-01,1.2411677272727273
