"Date","Value"
"31-05-2016","0.491"
"30-06-2016","0.49"
"31-07-2016","0.4614"
"31-08-2016","0.3793"
"30-09-2016","0.3027"
"31-10-2016","0.3107"
"30-11-2016","0.31"
"31-12-2016","0.3075"
"31-01-2017","0.3038"
"28-02-2017","0.3"
"31-03-2017","0.2852"
"30-04-2017","0.28"
"31-05-2017","0.28"
"30-06-2017","0.28"
"31-07-2017","0.28"
"31-08-2017","0.2832"
"30-09-2017","0.29"
"31-10-2017","0.3245"
"30-11-2017","0.4105"
