"Date","Value"
"31-12-2017","-0.3279"
"31-01-2018","-0.3285"
"28-02-2018","-0.3285"
"31-03-2018","-0.3279"
"30-04-2018","-0.3285"
"31-05-2018","-0.3254"
"30-06-2018","-0.322"
"31-07-2018","-0.3207"
"31-08-2018","-0.319"
"30-09-2018","-0.3189"
"31-10-2018","-0.3177"
"30-11-2018","-0.3164"
"31-12-2018","-0.3118"
"31-01-2019","-0.308"
"28-02-2019","-0.3085"
"31-03-2019","-0.3092"
"30-04-2019","-0.3105"
"31-05-2019","-0.312"
"30-06-2019","-0.3289"
"31-07-2019","-0.3649"
"31-08-2019","-0.4072"
"30-09-2019","-0.4176"
"31-10-2019","-0.4129"
"30-11-2019","-0.4013"
"31-12-2019","-0.3949"
"31-01-2020","-0.3911"
"29-02-2020","-0.4089"
"31-03-2020","-0.4166"
"30-04-2020","-0.2541"
"31-05-2020","-0.2732"
