DATE,GBP12MD156N
1995-01-01,7.8805804761904762
1995-02-01,7.8371710526315789
1995-03-01,7.7809104347826087
1995-04-01,7.6267361111111111
1995-05-01,7.5007447619047619
1995-06-01,7.2340200000000000
1995-07-01,7.2775304761904762
1995-08-01,7.1289068181818182
1995-09-01,6.8024571428571429
1995-10-01,6.8718040909090909
1995-11-01,6.6431113636363636
1995-12-01,6.3544410526315789
1996-01-01,6.3046877272727273
1996-02-01,6.1860123809523810
1996-03-01,6.3178947619047619
1996-04-01,6.4251642105263158
1996-05-01,6.4321061904761905
1996-06-01,6.2281255000000000
1996-07-01,6.0723517391304348
1996-08-01,6.0838923809523810
1996-09-01,6.1536461904761905
1996-10-01,6.3668473913043478
1996-11-01,6.9062504761904762
1996-12-01,6.9550790000000000
1997-01-01,6.8986145454545455
1997-02-01,6.7328130000000000
1997-03-01,6.8162015789473684
1997-04-01,7.0250363636363636
1997-05-01,6.9890635000000000
1997-06-01,7.0715985714285714
1997-07-01,7.4740156521739130
1997-08-01,7.5386725000000000
1997-09-01,7.5406609090909091
1997-10-01,7.5784652173913043
1997-11-01,7.8394535000000000
1997-12-01,7.7970609523809524
1998-01-01,7.5825900000000000
1998-02-01,7.4941415000000000
1998-03-01,7.5563623809523810
1998-04-01,7.5164060000000000
1998-05-01,7.4786178947368421
1998-06-01,7.8004259090909091
1998-07-01,7.9188186956521739
1998-08-01,7.6615240000000000
1998-09-01,7.1429336363636364
1998-10-01,6.7025676190476190
1998-11-01,6.4538028571428571
1998-12-01,5.8648880952380952
1999-01-01,5.4878830000000000
1999-02-01,5.3300075000000000
1999-03-01,5.3525208695652174
1999-04-01,5.3243840000000000
1999-05-01,5.4271878947368421
1999-06-01,5.4532686363636364
1999-07-01,5.5448577272727273
1999-08-01,5.8909380952380952
1999-09-01,6.1981336363636364
1999-10-01,6.4847033333333333
1999-11-01,6.3894236363636364
1999-12-01,6.6136805000000000
2000-01-01,6.8542450000000000
2000-02-01,6.7861538095238095
2000-03-01,6.7416986956521739
2000-04-01,6.7573005555555556
2000-05-01,6.7287061904761905
2000-06-01,6.5893731818181818
2000-07-01,6.4776295238095238
2000-08-01,6.5122018181818182
2000-09-01,6.4497247619047619
2000-10-01,6.3455909090909091
2000-11-01,6.1562081818181818
2000-12-01,5.9134321052631579
2001-01-01,5.6575295454545455
2001-02-01,5.5938300000000000
2001-03-01,5.3803913636363636
2001-04-01,5.2410621052631579
2001-05-01,5.2724480952380952
2001-06-01,5.5329923809523810
2001-07-01,5.5583177272727273
2001-08-01,5.1237295454545455
2001-09-01,4.7349980000000000
2001-10-01,4.4553808695652174
2001-11-01,4.1077350000000000
2001-12-01,4.3463110526315789
2002-01-01,4.5204422727272727
2002-02-01,4.5673620000000000
2002-03-01,4.7772135000000000
2002-04-01,4.7940180952380952
2002-05-01,4.8130681818181818
2002-06-01,4.7766505555555556
2002-07-01,4.4768960869565217
2002-08-01,4.1425376190476190
2002-09-01,4.0695461904761905
2002-10-01,4.0374521739130435
2002-11-01,4.0978657142857143
2002-12-01,4.1219770000000000
2003-01-01,3.9778972727272727
2003-02-01,3.6484475000000000
2003-03-01,3.5701566666666667
2003-04-01,3.5951415000000000
2003-05-01,3.5587270000000000
2003-06-01,3.5237504761904762
2003-07-01,3.4897730434782609
2003-08-01,3.8607265000000000
2003-09-01,4.0406040909090909
2003-10-01,4.2954756521739130
2003-11-01,4.5150935000000000
2003-12-01,4.4599933333333333
2004-01-01,4.4527757142857143
2004-02-01,4.5196565000000000
2004-03-01,4.6401600000000000
2004-04-01,4.8207500000000000
2004-05-01,5.0389473684210526
2004-06-01,5.3153413636363636
2004-07-01,5.2696168181818182
2004-08-01,5.2632442857142857
2004-09-01,5.1767331818181818
2004-10-01,5.0432442857142857
2004-11-01,5.0012504545454545
2004-12-01,4.9376790476190476
2005-01-01,4.9231575000000000
2005-02-01,5.0547195000000000
2005-03-01,5.1980061904761905
2005-04-01,5.0484233333333333
2005-05-01,4.8587205000000000
2005-06-01,4.7236945454545455
2005-07-01,4.4799500000000000
2005-08-01,4.5608827272727273
2005-09-01,4.5287513636363636
2005-10-01,4.5718171428571429
2005-11-01,4.6834668181818182
2005-12-01,4.6736885000000000
2006-01-01,4.6241685714285714
2006-02-01,4.6337525000000000
2006-03-01,4.7241460869565217
2006-04-01,4.7892027777777778
2006-05-01,4.9741509523809524
2006-06-01,4.9963086363636364
2006-07-01,5.0003000000000000
2006-08-01,5.2169336363636364
2006-09-01,5.2946747619047619
2006-10-01,5.3888650000000000
2006-11-01,5.4258263636363636
2006-12-01,5.4858236842105263
2007-01-01,5.7771881818181818
2007-02-01,5.8274700000000000
2007-03-01,5.7648304545454545
2007-04-01,5.9195078947368421
2007-05-01,6.0476495238095238
2007-06-01,6.2412209523809524
2007-07-01,6.3407804545454545
2007-08-01,6.4288640909090909
2007-09-01,6.4344065000000000
2007-10-01,6.1596208695652174
2007-11-01,6.0535236363636364
2007-12-01,5.9297700000000000
2008-01-01,5.4164204545454545
2008-02-01,5.4472619047619048
2008-03-01,5.7193421052631579
2008-04-01,5.8179559090909091
2008-05-01,5.9378765000000000
2008-06-01,6.3791371428571429
2008-07-01,6.2741852173913043
2008-08-01,6.0794075000000000
2008-09-01,6.1427572727272727
2008-10-01,6.3405439130434783
2008-11-01,4.6128130000000000
2008-12-01,3.4708333333333333
2009-01-01,2.6474714285714286
2009-02-01,2.4116885000000000
2009-03-01,2.2101159090909091
2009-04-01,1.9808010000000000
2009-05-01,1.8337984210526316
2009-06-01,1.7396877272727273
