"title","link","date","tag"
"Bank Rate held at 0.5% and the size of the Asset Purchase Programme at £375 billion","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2016/mpc-july-2016","14 July 2016","// News // Monetary Policy Committee (MPC)"
"Bank Rate held at 0.5% and the size of the Asset Purchase Programme at £375 billion","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2016/mpc-june-2016","16 June 2016","// News // Monetary Policy Committee (MPC)"
"Bank Rate held at 0.5% and the size of the Asset Purchase Programme at £375 billion","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2016/mpc-may-2016","12 May 2016","// News // Monetary Policy Committee (MPC)"
"Bank Rate held at 0.5% and the size of the Asset Purchase Programme at £375 billion","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2016/mpc-april-2016","14 April 2016","// News // Monetary Policy Committee (MPC)"
"Bank Rate held at 0.5% and the size of the Asset Purchase Programme at £375 billion","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2016/mpc-march-2016","17 March 2016","// News // Monetary Policy Committee (MPC)"
"Bank Rate held at 0.5% and the size of the Asset Purchase Programme at £375 billion","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2016/mpc-february-2016","04 February 2016","// News // Monetary Policy Committee (MPC)"
"Bank Rate held at 0.5% and the size of the Asset Purchase Programme at £375 billion","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2016/mpc-january-2016","14 January 2016","// News // Monetary Policy Committee (MPC)"
"Bank Rate held at 0.5% and the size of the Asset Purchase Programme at £375 billion","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2015/mpc-december-2015","10 December 2015","// News // Monetary Policy Committee (MPC)"
"Bank Rate held at 0.5% and the size of the Asset Purchase Programme at £375 billion","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2015/mpc-november-2015","05 November 2015","// News // Monetary Policy Committee (MPC)"
"Bank Rate held at 0.5% and the size of the Asset Purchase Programme at £375 billion","https://www.bankofengland.co.uk/monetary-policy-summary-and-minutes/2015/mpc-october-2015","08 October 2015","// News // Monetary Policy Committee (MPC)"
