,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
factor,41.0,20.0,44.0,0.19047619047619047,0.3904761904761905,0.32786885245901637,0.6721311475409836
fairli,2.0,5.0,13.0,0.25,0.1,0.7142857142857143,0.2857142857142857
fall,82.0,68.0,83.0,0.2918454935622318,0.351931330472103,0.4533333333333333,0.5466666666666666
fallen,90.0,88.0,116.0,0.29931972789115646,0.30612244897959184,0.4943820224719101,0.5056179775280899
far,27.0,8.0,8.0,0.18604651162790697,0.627906976744186,0.22857142857142856,0.7714285714285715
farm,5.0,2.0,6.0,0.15384615384615385,0.38461538461538464,0.2857142857142857,0.7142857142857143
faster,9.0,1.0,8.0,0.05555555555555555,0.5,0.1,0.9
favour,9.0,4.0,2.0,0.26666666666666666,0.6,0.3076923076923077,0.6923076923076923
februari,35.0,25.0,38.0,0.25510204081632654,0.35714285714285715,0.4166666666666667,0.5833333333333334
feder,27.0,25.0,38.0,0.2777777777777778,0.3,0.4807692307692308,0.5192307692307693
feed,7.0,1.0,4.0,0.08333333333333333,0.5833333333333334,0.125,0.875
fell,5.0,2.0,15.0,0.09090909090909091,0.22727272727272727,0.2857142857142857,0.7142857142857143
fifteen,7.0,5.0,8.0,0.25,0.35,0.4166666666666667,0.5833333333333334
figur,7.0,2.0,13.0,0.09090909090909091,0.3181818181818182,0.2222222222222222,0.7777777777777778
final,10.0,2.0,4.0,0.125,0.625,0.16666666666666666,0.8333333333333334
financ,14.0,5.0,6.0,0.2,0.56,0.2631578947368421,0.7368421052631579
financi,92.0,69.0,89.0,0.276,0.368,0.42857142857142855,0.5714285714285714
firm,11.0,14.0,20.0,0.3111111111111111,0.24444444444444444,0.56,0.44
first,43.0,30.0,56.0,0.23255813953488372,0.3333333333333333,0.410958904109589,0.589041095890411
fiscal,22.0,24.0,13.0,0.4067796610169492,0.3728813559322034,0.5217391304347826,0.4782608695652174
five,23.0,6.0,33.0,0.0967741935483871,0.3709677419354839,0.20689655172413793,0.7931034482758621
fix,7.0,2.0,4.0,0.15384615384615385,0.5384615384615384,0.2222222222222222,0.7777777777777778
flat,7.0,9.0,17.0,0.2727272727272727,0.21212121212121213,0.5625,0.4375
flow,8.0,9.0,15.0,0.28125,0.25,0.5294117647058824,0.47058823529411764
focu,9.0,6.0,2.0,0.35294117647058826,0.5294117647058824,0.4,0.6
focus,13.0,6.0,15.0,0.17647058823529413,0.38235294117647056,0.3157894736842105,0.6842105263157895
follow,46.0,45.0,78.0,0.26627218934911245,0.27218934911242604,0.4945054945054945,0.5054945054945055
fomc,17.0,21.0,42.0,0.2625,0.2125,0.5526315789473685,0.4473684210526316
forc,7.0,2.0,6.0,0.13333333333333333,0.4666666666666667,0.2222222222222222,0.7777777777777778
forecast,26.0,26.0,13.0,0.4,0.4,0.5,0.5
foreign,20.0,10.0,24.0,0.18518518518518517,0.37037037037037035,0.3333333333333333,0.6666666666666666
