,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
sharp,37.0,23.0,12.0,0.3194444444444444,0.5138888888888888,0.38333333333333336,0.6166666666666667
sharpli,35.0,25.0,22.0,0.3048780487804878,0.4268292682926829,0.4166666666666667,0.5833333333333334
shift,15.0,11.0,8.0,0.3235294117647059,0.4411764705882353,0.4230769230769231,0.5769230769230769
shock,9.0,10.0,2.0,0.47619047619047616,0.42857142857142855,0.5263157894736842,0.47368421052631576
short,48.0,24.0,18.0,0.26666666666666666,0.5333333333333333,0.3333333333333333,0.6666666666666666
shortag,32.0,12.0,6.0,0.24,0.64,0.2727272727272727,0.7272727272727273
shorter,7.0,3.0,8.0,0.16666666666666666,0.3888888888888889,0.3,0.7
show,38.0,18.0,11.0,0.26865671641791045,0.5671641791044776,0.32142857142857145,0.6785714285714286
shown,16.0,12.0,9.0,0.32432432432432434,0.43243243243243246,0.42857142857142855,0.5714285714285714
side,10.0,7.0,5.0,0.3181818181818182,0.45454545454545453,0.4117647058823529,0.5882352941176471
sign,39.0,32.0,19.0,0.35555555555555557,0.43333333333333335,0.4507042253521127,0.5492957746478874
signal,15.0,8.0,8.0,0.25806451612903225,0.4838709677419355,0.34782608695652173,0.6521739130434783
signific,28.0,34.0,8.0,0.4857142857142857,0.4,0.5483870967741935,0.45161290322580644
significantli,24.0,12.0,13.0,0.24489795918367346,0.4897959183673469,0.3333333333333333,0.6666666666666666
similar,29.0,16.0,11.0,0.2857142857142857,0.5178571428571429,0.35555555555555557,0.6444444444444445
similarli,6.0,4.0,1.0,0.36363636363636365,0.5454545454545454,0.4,0.6
simpli,7.0,8.0,4.0,0.42105263157894735,0.3684210526315789,0.5333333333333333,0.4666666666666667
sinc,80.0,62.0,42.0,0.33695652173913043,0.43478260869565216,0.43661971830985913,0.5633802816901409
singl,6.0,3.0,3.0,0.25,0.5,0.3333333333333333,0.6666666666666666
six,14.0,7.0,8.0,0.2413793103448276,0.4827586206896552,0.3333333333333333,0.6666666666666666
size,12.0,10.0,5.0,0.37037037037037035,0.4444444444444444,0.45454545454545453,0.5454545454545454
skill,34.0,20.0,13.0,0.29850746268656714,0.5074626865671642,0.37037037037037035,0.6296296296296297
slack,21.0,21.0,21.0,0.3333333333333333,0.3333333333333333,0.5,0.5
slight,7.0,11.0,3.0,0.5238095238095238,0.3333333333333333,0.6111111111111112,0.3888888888888889
slightli,70.0,39.0,27.0,0.2867647058823529,0.5147058823529411,0.3577981651376147,0.6422018348623854
slow,37.0,21.0,12.0,0.3,0.5285714285714286,0.3620689655172414,0.6379310344827587
slowdown,18.0,14.0,1.0,0.42424242424242425,0.5454545454545454,0.4375,0.5625
slower,16.0,12.0,5.0,0.36363636363636365,0.48484848484848486,0.42857142857142855,0.5714285714285714
slowli,14.0,6.0,3.0,0.2608695652173913,0.6086956521739131,0.3,0.7
small,31.0,23.0,11.0,0.35384615384615387,0.47692307692307695,0.42592592592592593,0.5740740740740741
smaller,13.0,12.0,10.0,0.34285714285714286,0.37142857142857144,0.48,0.52
soften,12.0,6.0,9.0,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.6666666666666666
somewhat,37.0,29.0,14.0,0.3625,0.4625,0.4393939393939394,0.5606060606060606
soon,9.0,6.0,3.0,0.3333333333333333,0.5,0.4,0.6
sourc,12.0,4.0,2.0,0.2222222222222222,0.6666666666666666,0.25,0.75
spare,15.0,17.0,11.0,0.3953488372093023,0.3488372093023256,0.53125,0.46875
special,9.0,9.0,3.0,0.42857142857142855,0.42857142857142855,0.5,0.5
speed,6.0,6.0,5.0,0.35294117647058826,0.35294117647058826,0.5,0.5
spend,3.0,6.0,3.0,0.5,0.25,0.6666666666666666,0.3333333333333333
spread,5.0,4.0,5.0,0.2857142857142857,0.35714285714285715,0.4444444444444444,0.5555555555555556
spring,11.0,3.0,9.0,0.13043478260869565,0.4782608695652174,0.21428571428571427,0.7857142857142857
squeez,11.0,8.0,1.0,0.4,0.55,0.42105263157894735,0.5789473684210527
stabilis,8.0,7.0,3.0,0.3888888888888889,0.4444444444444444,0.4666666666666667,0.5333333333333333
stabl,42.0,26.0,17.0,0.3058823529411765,0.49411764705882355,0.38235294117647056,0.6176470588235294
staff,51.0,23.0,31.0,0.21904761904761905,0.4857142857142857,0.3108108108108108,0.6891891891891891
standard,12.0,10.0,4.0,0.38461538461538464,0.46153846153846156,0.45454545454545453,0.5454545454545454
start,29.0,14.0,14.0,0.24561403508771928,0.5087719298245614,0.32558139534883723,0.6744186046511628
state,9.0,5.0,8.0,0.22727272727272727,0.4090909090909091,0.35714285714285715,0.6428571428571429
statist,9.0,5.0,4.0,0.2777777777777778,0.5,0.35714285714285715,0.6428571428571429
steadi,10.0,4.0,2.0,0.25,0.625,0.2857142857142857,0.7142857142857143
steadili,8.0,5.0,1.0,0.35714285714285715,0.5714285714285714,0.38461538461538464,0.6153846153846154
sterl,47.0,37.0,27.0,0.3333333333333333,0.42342342342342343,0.44047619047619047,0.5595238095238095
still,35.0,34.0,12.0,0.41975308641975306,0.43209876543209874,0.4927536231884058,0.5072463768115942
stock,1.0,5.0,5.0,0.45454545454545453,0.09090909090909091,0.8333333333333334,0.16666666666666666
stood,7.0,2.0,7.0,0.125,0.4375,0.2222222222222222,0.7777777777777778
strength,25.0,13.0,13.0,0.2549019607843137,0.49019607843137253,0.34210526315789475,0.6578947368421053
strengthen,17.0,9.0,8.0,0.2647058823529412,0.5,0.34615384615384615,0.6538461538461539
strike,6.0,3.0,6.0,0.2,0.4,0.3333333333333333,0.6666666666666666
strong,31.0,17.0,15.0,0.2698412698412698,0.49206349206349204,0.3541666666666667,0.6458333333333334
stronger,30.0,20.0,20.0,0.2857142857142857,0.42857142857142855,0.4,0.6
strongli,13.0,4.0,5.0,0.18181818181818182,0.5909090909090909,0.23529411764705882,0.7647058823529411
structur,12.0,11.0,5.0,0.39285714285714285,0.42857142857142855,0.4782608695652174,0.5217391304347826
subdu,42.0,27.0,22.0,0.2967032967032967,0.46153846153846156,0.391304347826087,0.6086956521739131
subsequ,10.0,7.0,6.0,0.30434782608695654,0.43478260869565216,0.4117647058823529,0.5882352941176471
substanti,19.0,19.0,6.0,0.4318181818181818,0.4318181818181818,0.5,0.5
suggest,93.0,72.0,43.0,0.34615384615384615,0.44711538461538464,0.43636363636363634,0.5636363636363636
summer,15.0,9.0,9.0,0.2727272727272727,0.45454545454545453,0.375,0.625
suppli,51.0,36.0,20.0,0.3364485981308411,0.4766355140186916,0.41379310344827586,0.5862068965517241
support,14.0,5.0,7.0,0.19230769230769232,0.5384615384615384,0.2631578947368421,0.7368421052631579
