,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
seen,75.0,81.0,89.0,0.3306122448979592,0.30612244897959184,0.5192307692307693,0.4807692307692308
self,19.0,13.0,22.0,0.24074074074074073,0.35185185185185186,0.40625,0.59375
sell,19.0,6.0,22.0,0.1276595744680851,0.40425531914893614,0.24,0.76
sen,16.0,4.0,11.0,0.12903225806451613,0.5161290322580645,0.2,0.8
senior,16.0,9.0,6.0,0.2903225806451613,0.5161290322580645,0.36,0.64
sensibl,11.0,14.0,2.0,0.5185185185185185,0.4074074074074074,0.56,0.44
sensit,25.0,30.0,44.0,0.30303030303030304,0.25252525252525254,0.5454545454545454,0.45454545454545453
sentanc,17.0,21.0,4.0,0.5,0.40476190476190477,0.5526315789473685,0.4473684210526316
sentiment,48.0,33.0,58.0,0.23741007194244604,0.34532374100719426,0.4074074074074074,0.5925925925925926
separ,8.0,9.0,13.0,0.3,0.26666666666666666,0.5294117647058824,0.47058823529411764
septemb,65.0,57.0,60.0,0.3131868131868132,0.35714285714285715,0.4672131147540984,0.5327868852459017
sequenc,5.0,9.0,4.0,0.5,0.2777777777777778,0.6428571428571429,0.35714285714285715
seri,58.0,28.0,56.0,0.19718309859154928,0.4084507042253521,0.32558139534883723,0.6744186046511628
seriou,9.0,4.0,11.0,0.16666666666666666,0.375,0.3076923076923077,0.6923076923076923
serv,6.0,1.0,13.0,0.05,0.3,0.14285714285714285,0.8571428571428571
servic,115.0,114.0,105.0,0.3413173652694611,0.344311377245509,0.4978165938864629,0.5021834061135371
set,87.0,82.0,92.0,0.31417624521072796,0.3333333333333333,0.48520710059171596,0.514792899408284
settl,14.0,13.0,15.0,0.30952380952380953,0.3333333333333333,0.48148148148148145,0.5185185185185185
settlement,93.0,84.0,56.0,0.3605150214592275,0.39914163090128757,0.4745762711864407,0.5254237288135594
seven,25.0,41.0,49.0,0.3565217391304348,0.21739130434782608,0.6212121212121212,0.3787878787878788
seventh,5.0,6.0,0.0,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.45454545454545453
sever,67.0,61.0,56.0,0.33152173913043476,0.3641304347826087,0.4765625,0.5234375
shafik,7.0,1.0,11.0,0.05263157894736842,0.3684210526315789,0.125,0.875
shape,17.0,12.0,8.0,0.32432432432432434,0.4594594594594595,0.41379310344827586,0.5862068965517241
share,66.0,76.0,80.0,0.34234234234234234,0.2972972972972973,0.5352112676056338,0.4647887323943662
sharp,97.0,93.0,83.0,0.34065934065934067,0.3553113553113553,0.48947368421052634,0.5105263157894737
sharper,30.0,28.0,17.0,0.37333333333333335,0.4,0.4827586206896552,0.5172413793103449
sharpest,3.0,1.0,8.0,0.08333333333333333,0.25,0.25,0.75
sharpli,103.0,96.0,105.0,0.3157894736842105,0.33881578947368424,0.4824120603015075,0.5175879396984925
shed,11.0,10.0,8.0,0.3448275862068966,0.3793103448275862,0.47619047619047616,0.5238095238095238
sheet,41.0,54.0,33.0,0.421875,0.3203125,0.5684210526315789,0.43157894736842106
shift,61.0,60.0,60.0,0.3314917127071823,0.3370165745856354,0.49586776859504134,0.5041322314049587
shipment,7.0,5.0,2.0,0.35714285714285715,0.5,0.4166666666666667,0.5833333333333334
shock,59.0,58.0,53.0,0.3411764705882353,0.34705882352941175,0.49572649572649574,0.5042735042735043
shop,4.0,2.0,6.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
short,112.0,117.0,110.0,0.34513274336283184,0.3303834808259587,0.5109170305676856,0.4890829694323144
shortag,42.0,18.0,24.0,0.21428571428571427,0.5,0.3,0.7
shorter,31.0,22.0,35.0,0.25,0.3522727272727273,0.41509433962264153,0.5849056603773585
shortfal,18.0,9.0,22.0,0.1836734693877551,0.3673469387755102,0.3333333333333333,0.6666666666666666
shortli,10.0,4.0,8.0,0.18181818181818182,0.45454545454545453,0.2857142857142857,0.7142857142857143
show,68.0,69.0,58.0,0.35384615384615387,0.3487179487179487,0.5036496350364964,0.49635036496350365
shown,66.0,57.0,62.0,0.3081081081081081,0.3567567567567568,0.4634146341463415,0.5365853658536586
shutdown,2.0,2.0,20.0,0.08333333333333333,0.08333333333333333,0.5,0.5
side,61.0,52.0,47.0,0.325,0.38125,0.46017699115044247,0.5398230088495575
sight,4.0,4.0,4.0,0.3333333333333333,0.3333333333333333,0.5,0.5
sign,107.0,112.0,110.0,0.3404255319148936,0.3252279635258359,0.5114155251141552,0.4885844748858447
signal,72.0,58.0,62.0,0.3020833333333333,0.375,0.4461538461538462,0.5538461538461539
signific,109.0,109.0,107.0,0.3353846153846154,0.3353846153846154,0.5,0.5
significantli,79.0,89.0,89.0,0.3463035019455253,0.30739299610894943,0.5297619047619048,0.47023809523809523
silvana,0.0,4.0,15.0,0.21052631578947367,0.0,1.0,0.0
similar,70.0,76.0,87.0,0.3261802575107296,0.30042918454935624,0.5205479452054794,0.4794520547945205
similarli,20.0,14.0,13.0,0.2978723404255319,0.425531914893617,0.4117647058823529,0.5882352941176471
simpli,30.0,45.0,20.0,0.47368421052631576,0.3157894736842105,0.6,0.4
sinc,118.0,117.0,118.0,0.3314447592067989,0.3342776203966006,0.4978723404255319,0.502127659574468
singl,17.0,12.0,13.0,0.2857142857142857,0.40476190476190477,0.41379310344827586,0.5862068965517241
site,11.0,6.0,2.0,0.3157894736842105,0.5789473684210527,0.35294117647058826,0.6470588235294118
situat,25.0,33.0,40.0,0.336734693877551,0.25510204081632654,0.5689655172413793,0.43103448275862066
six,51.0,53.0,51.0,0.3419354838709677,0.32903225806451614,0.5096153846153846,0.49038461538461536
sixth,10.0,5.0,2.0,0.29411764705882354,0.5882352941176471,0.3333333333333333,0.6666666666666666
sizabl,11.0,13.0,8.0,0.40625,0.34375,0.5416666666666666,0.4583333333333333
size,61.0,61.0,65.0,0.32620320855614976,0.32620320855614976,0.5,0.5
sizeabl,7.0,6.0,8.0,0.2857142857142857,0.3333333333333333,0.46153846153846156,0.5384615384615384
skew,24.0,12.0,22.0,0.20689655172413793,0.41379310344827586,0.3333333333333333,0.6666666666666666
skill,40.0,28.0,35.0,0.27184466019417475,0.3883495145631068,0.4117647058823529,0.5882352941176471
slack,42.0,48.0,78.0,0.2857142857142857,0.25,0.5333333333333333,0.4666666666666667
slacken,8.0,12.0,2.0,0.5454545454545454,0.36363636363636365,0.6,0.4
slight,33.0,38.0,47.0,0.3220338983050847,0.2796610169491525,0.5352112676056338,0.4647887323943662
slightli,106.0,114.0,105.0,0.3507692307692308,0.3261538461538461,0.5181818181818182,0.4818181818181818
slope,8.0,2.0,13.0,0.08695652173913043,0.34782608695652173,0.2,0.8
slow,113.0,104.0,107.0,0.32098765432098764,0.3487654320987654,0.4792626728110599,0.5207373271889401
slowdown,101.0,77.0,67.0,0.3142857142857143,0.4122448979591837,0.43258426966292135,0.5674157303370787
slower,59.0,62.0,47.0,0.36904761904761907,0.35119047619047616,0.512396694214876,0.48760330578512395
slowest,6.0,1.0,6.0,0.07692307692307693,0.46153846153846156,0.14285714285714285,0.8571428571428571
slowli,39.0,30.0,26.0,0.3157894736842105,0.4105263157894737,0.43478260869565216,0.5652173913043478
sluggish,13.0,24.0,8.0,0.5333333333333333,0.28888888888888886,0.6486486486486487,0.35135135135135137
small,88.0,100.0,98.0,0.34965034965034963,0.3076923076923077,0.5319148936170213,0.46808510638297873
smaller,52.0,52.0,65.0,0.3076923076923077,0.3076923076923077,0.5,0.5
smooth,20.0,17.0,29.0,0.25757575757575757,0.30303030303030304,0.4594594594594595,0.5405405405405406
smoother,4.0,1.0,6.0,0.09090909090909091,0.36363636363636365,0.2,0.8
snow,3.0,8.0,6.0,0.47058823529411764,0.17647058823529413,0.7272727272727273,0.2727272727272727
social,11.0,6.0,11.0,0.21428571428571427,0.39285714285714285,0.35294117647058826,0.6470588235294118
societi,9.0,8.0,26.0,0.18604651162790697,0.20930232558139536,0.47058823529411764,0.5294117647058824
