,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
retail,44.0,28.0,12.0,0.3333333333333333,0.5238095238095238,0.3888888888888889,0.6111111111111112
return,44.0,22.0,30.0,0.22916666666666666,0.4583333333333333,0.3333333333333333,0.6666666666666666
revers,22.0,23.0,8.0,0.4339622641509434,0.41509433962264153,0.5111111111111111,0.4888888888888889
review,21.0,14.0,18.0,0.2641509433962264,0.39622641509433965,0.4,0.6
revis,34.0,41.0,26.0,0.40594059405940597,0.33663366336633666,0.5466666666666666,0.4533333333333333
richard,3.0,16.0,0.0,0.8421052631578947,0.15789473684210525,0.8421052631578947,0.15789473684210525
rise,107.0,71.0,48.0,0.3141592920353982,0.47345132743362833,0.398876404494382,0.601123595505618
risen,50.0,42.0,29.0,0.34710743801652894,0.4132231404958678,0.45652173913043476,0.5434782608695652
risk,114.0,85.0,51.0,0.34,0.456,0.4271356783919598,0.5728643216080402
riski,12.0,1.0,7.0,0.05,0.6,0.07692307692307693,0.9230769230769231
robust,47.0,26.0,14.0,0.2988505747126437,0.5402298850574713,0.3561643835616438,0.6438356164383562
role,5.0,3.0,7.0,0.2,0.3333333333333333,0.375,0.625
rose,6.0,4.0,7.0,0.23529411764705882,0.35294117647058826,0.4,0.6
roughli,4.0,3.0,4.0,0.2727272727272727,0.36363636363636365,0.42857142857142855,0.5714285714285714
round,21.0,30.0,10.0,0.4918032786885246,0.3442622950819672,0.5882352941176471,0.4117647058823529
rpi,9.0,3.0,0.0,0.25,0.75,0.25,0.75
rpix,24.0,11.0,6.0,0.2682926829268293,0.5853658536585366,0.3142857142857143,0.6857142857142857
run,44.0,18.0,11.0,0.2465753424657534,0.6027397260273972,0.2903225806451613,0.7096774193548387
sale,29.0,23.0,14.0,0.3484848484848485,0.4393939393939394,0.4423076923076923,0.5576923076923077
saunder,0.0,6.0,7.0,0.46153846153846156,0.0,1.0,0.0
save,11.0,12.0,7.0,0.4,0.36666666666666664,0.5217391304347826,0.4782608695652174
saw,12.0,2.0,4.0,0.1111111111111111,0.6666666666666666,0.14285714285714285,0.8571428571428571
scale,19.0,11.0,8.0,0.2894736842105263,0.5,0.36666666666666664,0.6333333333333333
schedul,4.0,5.0,4.0,0.38461538461538464,0.3076923076923077,0.5555555555555556,0.4444444444444444
scheme,5.0,3.0,11.0,0.15789473684210525,0.2631578947368421,0.375,0.625
scope,8.0,13.0,13.0,0.38235294117647056,0.23529411764705882,0.6190476190476191,0.38095238095238093
second,65.0,62.0,28.0,0.4,0.41935483870967744,0.4881889763779528,0.5118110236220472
sector,67.0,49.0,31.0,0.3333333333333333,0.4557823129251701,0.4224137931034483,0.5775862068965517
secur,9.0,4.0,5.0,0.2222222222222222,0.5,0.3076923076923077,0.6923076923076923
see,21.0,14.0,11.0,0.30434782608695654,0.45652173913043476,0.4,0.6
seek,18.0,9.0,16.0,0.20930232558139536,0.4186046511627907,0.3333333333333333,0.6666666666666666
seem,59.0,55.0,23.0,0.40145985401459855,0.4306569343065693,0.4824561403508772,0.5175438596491229
seen,23.0,16.0,13.0,0.3076923076923077,0.4423076923076923,0.41025641025641024,0.5897435897435898
sensibl,7.0,8.0,1.0,0.5,0.4375,0.5333333333333333,0.4666666666666667
sensit,4.0,6.0,7.0,0.35294117647058826,0.23529411764705882,0.6,0.4
sentanc,17.0,16.0,2.0,0.45714285714285713,0.4857142857142857,0.48484848484848486,0.5151515151515151
sentiment,18.0,9.0,11.0,0.23684210526315788,0.47368421052631576,0.3333333333333333,0.6666666666666666
septemb,21.0,14.0,15.0,0.28,0.42,0.4,0.6
seri,11.0,2.0,3.0,0.125,0.6875,0.15384615384615385,0.8461538461538461
seriou,7.0,1.0,3.0,0.09090909090909091,0.6363636363636364,0.125,0.875
servic,29.0,24.0,16.0,0.34782608695652173,0.42028985507246375,0.4528301886792453,0.5471698113207547
set,70.0,43.0,40.0,0.28104575163398693,0.45751633986928103,0.3805309734513274,0.6194690265486725
settl,8.0,4.0,3.0,0.26666666666666666,0.5333333333333333,0.3333333333333333,0.6666666666666666
settlement,28.0,24.0,3.0,0.43636363636363634,0.509090909090909,0.46153846153846156,0.5384615384615384
seven,19.0,22.0,17.0,0.3793103448275862,0.3275862068965517,0.5365853658536586,0.4634146341463415
sever,30.0,18.0,9.0,0.3157894736842105,0.5263157894736842,0.375,0.625
shafik,7.0,1.0,5.0,0.07692307692307693,0.5384615384615384,0.125,0.875
shape,7.0,4.0,2.0,0.3076923076923077,0.5384615384615384,0.36363636363636365,0.6363636363636364
share,8.0,5.0,4.0,0.29411764705882354,0.47058823529411764,0.38461538461538464,0.6153846153846154
sharp,45.0,30.0,24.0,0.30303030303030304,0.45454545454545453,0.4,0.6
sharper,14.0,9.0,1.0,0.375,0.5833333333333334,0.391304347826087,0.6086956521739131
sharpli,39.0,19.0,14.0,0.2638888888888889,0.5416666666666666,0.3275862068965517,0.6724137931034483
sheet,14.0,14.0,6.0,0.4117647058823529,0.4117647058823529,0.5,0.5
shift,28.0,14.0,9.0,0.27450980392156865,0.5490196078431373,0.3333333333333333,0.6666666666666666
shock,34.0,26.0,18.0,0.3333333333333333,0.4358974358974359,0.43333333333333335,0.5666666666666667
short,72.0,52.0,26.0,0.3466666666666667,0.48,0.41935483870967744,0.5806451612903226
shortag,8.0,0.0,3.0,0.0,0.7272727272727273,0.0,1.0
shorter,8.0,5.0,4.0,0.29411764705882354,0.47058823529411764,0.38461538461538464,0.6153846153846154
shortfal,8.0,0.0,4.0,0.0,0.6666666666666666,0.0,1.0
show,24.0,11.0,10.0,0.24444444444444444,0.5333333333333333,0.3142857142857143,0.6857142857142857
shown,8.0,10.0,4.0,0.45454545454545453,0.36363636363636365,0.5555555555555556,0.4444444444444444
side,23.0,12.0,10.0,0.26666666666666666,0.5111111111111111,0.34285714285714286,0.6571428571428571
sign,70.0,55.0,27.0,0.3618421052631579,0.4605263157894737,0.44,0.56
signal,28.0,17.0,6.0,0.3333333333333333,0.5490196078431373,0.37777777777777777,0.6222222222222222
signific,65.0,49.0,35.0,0.3288590604026846,0.436241610738255,0.4298245614035088,0.5701754385964912
significantli,39.0,34.0,25.0,0.3469387755102041,0.3979591836734694,0.4657534246575342,0.5342465753424658
similar,18.0,13.0,8.0,0.3333333333333333,0.46153846153846156,0.41935483870967744,0.5806451612903226
simpli,9.0,6.0,2.0,0.35294117647058826,0.5294117647058824,0.4,0.6
sinc,88.0,61.0,45.0,0.31443298969072164,0.4536082474226804,0.40939597315436244,0.5906040268456376
situat,12.0,6.0,9.0,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.6666666666666666
