,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
solv,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
solvenc,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
someth,0.0,1.0,0.0,0.0,2.2930804763765196e-05,1.0,1.0,0.0
somewhat,26.0,27.0,27.0,0.0,0.0,1.0,0.3375,0.325
soon,2.0,1.0,0.0,1.5083624394456321e-05,8.463077764967617e-06,-1.0,0.3333333333333333,0.6666666666666666
sooner,2.0,0.0,0.0,5.4492334148378203e-05,0.0,-2.0,0.0,1.0
sought,2.0,3.0,6.0,0.0,0.0,1.0,0.2727272727272727,0.18181818181818182
sourc,5.0,2.0,6.0,0.0,0.0,-3.0,0.15384615384615385,0.38461538461538464
south,1.0,0.0,1.0,5.027874798152107e-06,0.0,-1.0,0.0,0.5
southeast,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
southern,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
sovereign,14.0,19.0,9.0,0.0,0.0,5.0,0.4523809523809524,0.3333333333333333
spain,5.0,1.0,3.0,0.0,0.0,-4.0,0.1111111111111111,0.5555555555555556
span,0.0,1.0,1.0,0.0,8.463077764967617e-06,1.0,0.5,0.0
spanish,10.0,2.0,1.0,0.0,0.0,-8.0,0.15384615384615385,0.7692307692307693
spare,3.0,2.0,0.0,2.5139373990760535e-05,1.6926155529935234e-05,-1.0,0.4,0.6
spark,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
spate,1.0,1.0,0.0,5.027874798152107e-06,8.463077764967617e-06,0.0,0.5,0.5
special,2.0,2.0,18.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091
specialis,1.0,0.0,0.0,1.3623083537094551e-05,0.0,-1.0,0.0,1.0
specif,2.0,4.0,2.0,0.0,0.0,2.0,0.5,0.25
specifi,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
spectrum,1.0,0.0,1.0,5.027874798152107e-06,0.0,-1.0,0.0,0.5
specul,3.0,9.0,1.0,0.0,0.0,6.0,0.6923076923076923,0.23076923076923078
speech,1.0,0.0,2.0,5.027874798152107e-06,0.0,-1.0,0.0,0.3333333333333333
