,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
robust,8.0,8.0,11.0,0.0,0.0,0.0,0.2962962962962963,0.2962962962962963
robustli,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
role,3.0,7.0,5.0,0.0,0.0,4.0,0.4666666666666667,0.2
roll,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
room,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
rose,12.0,7.0,28.0,0.0,0.0,-5.0,0.14893617021276595,0.2553191489361702
rough,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
roughli,9.0,1.0,15.0,0.0,0.0,-8.0,0.04,0.36
round,13.0,17.0,1.0,0.0,0.0,4.0,0.5483870967741935,0.41935483870967744
routin,1.0,0.0,1.0,8.336667489912712e-06,0.0,-1.0,0.0,0.5
row,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
rpi,18.0,22.0,22.0,0.0,0.0,4.0,0.3548387096774194,0.2903225806451613
rpix,48.0,61.0,24.0,0.0,0.0,13.0,0.45864661654135336,0.3609022556390977
rpiy,3.0,0.0,1.0,1.6673334979825424e-05,0.0,-3.0,0.0,0.75
rudimentari,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
rule,1.0,2.0,3.0,0.0,0.0,1.0,0.3333333333333333,0.16666666666666666
run,37.0,26.0,16.0,0.0,0.0,-11.0,0.3291139240506329,0.46835443037974683
russia,1.0,0.0,1.0,4.168333744956356e-06,0.0,-1.0,0.0,0.5
safeguard,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
safeti,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
said,7.0,2.0,5.0,0.0,0.0,-5.0,0.14285714285714285,0.5
salari,2.0,6.0,4.0,0.0,0.0,4.0,0.5,0.16666666666666666
sale,9.0,10.0,12.0,0.0,0.0,1.0,0.3225806451612903,0.2903225806451613
sampl,7.0,12.0,13.0,0.0,0.0,5.0,0.375,0.21875
sanguin,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
sat,0.0,1.0,0.0,0.0,1.6867156457724837e-05,1.0,1.0,0.0
satisfactorili,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
satisfi,1.0,0.0,0.0,2.258829469616108e-05,0.0,-1.0,0.0,1.0
saucer,1.0,0.0,0.0,2.258829469616108e-05,0.0,-1.0,0.0,1.0
save,2.0,2.0,0.0,1.2505001234869067e-05,1.2450331180802577e-05,0.0,0.5,0.5
say,1.0,0.0,3.0,8.336667489912712e-06,0.0,-1.0,0.0,0.25
sbrt,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
scale,3.0,9.0,4.0,0.0,0.0,6.0,0.5625,0.1875
scarciti,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
scellan,1.0,0.0,0.0,1.129414734808054e-05,0.0,-1.0,0.0,1.0
scenario,2.0,0.0,0.0,3.388244204424162e-05,0.0,-2.0,0.0,1.0
schedul,1.0,4.0,0.0,4.168333744956356e-06,2.4900662361605155e-05,3.0,0.8,0.2
scheme,3.0,1.0,4.0,0.0,0.0,-2.0,0.125,0.375
school,1.0,0.0,1.0,4.168333744956356e-06,0.0,-1.0,0.0,0.5
scope,3.0,2.0,3.0,0.0,0.0,-1.0,0.25,0.375
