,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
footfal,1.0,0.0,2.0,3.1415695970827313e-06,0.0,-1.0,0.0,0.3333333333333333
footwear,1.0,0.0,0.0,8.5121182958621e-06,0.0,-1.0,0.0,1.0
forc,3.0,2.0,2.0,0.0,0.0,-1.0,0.2857142857142857,0.42857142857142855
forecast,32.0,31.0,28.0,0.0,0.0,-1.0,0.34065934065934067,0.3516483516483517
forecourt,1.0,0.0,0.0,8.5121182958621e-06,0.0,-1.0,0.0,1.0
foreign,9.0,9.0,17.0,0.0,0.0,0.0,0.2571428571428571,0.2571428571428571
foreshadow,1.0,0.0,2.0,3.1415695970827313e-06,0.0,-1.0,0.0,0.3333333333333333
forgon,1.0,0.0,0.0,8.5121182958621e-06,0.0,-1.0,0.0,1.0
form,7.0,3.0,7.0,0.0,0.0,-4.0,0.17647058823529413,0.4117647058823529
format,1.0,0.0,2.0,3.1415695970827313e-06,0.0,-1.0,0.0,0.3333333333333333
former,2.0,0.0,5.0,9.424708791248192e-06,0.0,-2.0,0.0,0.2857142857142857
formul,1.0,0.0,0.0,8.5121182958621e-06,0.0,-1.0,0.0,1.0
forthcom,5.0,3.0,3.0,0.0,0.0,-2.0,0.2727272727272727,0.45454545454545453
forti,0.0,2.0,3.0,0.0,9.344189920704762e-06,2.0,0.4,0.0
forward,36.0,32.0,25.0,0.0,0.0,-4.0,0.34408602150537637,0.3870967741935484
foster,1.0,0.0,0.0,8.5121182958621e-06,0.0,-1.0,0.0,1.0
found,7.0,2.0,2.0,0.0,0.0,-5.0,0.18181818181818182,0.6363636363636364
four,11.0,14.0,41.0,0.0,0.0,3.0,0.21212121212121213,0.16666666666666666
fourteen,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
fourth,52.0,48.0,48.0,0.0,0.0,-4.0,0.32432432432432434,0.35135135135135137
fpc,5.0,1.0,2.0,0.0,0.0,-4.0,0.125,0.625
fr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
fraction,1.0,1.0,5.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
fragil,1.0,3.0,0.0,6.2831391941654625e-06,1.4016284881057144e-05,2.0,0.75,0.25
frail,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
framework,1.0,1.0,0.0,6.2831391941654625e-06,4.672094960352381e-06,0.0,0.5,0.5
franc,1.0,0.0,3.0,3.1415695970827313e-06,0.0,-1.0,0.0,0.25
fraud,0.0,9.0,0.0,0.0,0.00011393184644406904,9.0,1.0,0.0
fraudul,0.0,2.0,0.0,0.0,2.531818809868201e-05,2.0,1.0,0.0
free,5.0,1.0,3.0,0.0,0.0,-4.0,0.1111111111111111,0.5555555555555556
freed,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
frequenc,1.0,2.0,5.0,0.0,0.0,1.0,0.25,0.125
frequent,1.0,6.0,5.0,0.0,0.0,5.0,0.5,0.08333333333333333
friction,1.0,0.0,0.0,8.5121182958621e-06,0.0,-1.0,0.0,1.0
friday,1.0,0.0,2.0,3.1415695970827313e-06,0.0,-1.0,0.0,0.3333333333333333
front,2.0,0.0,2.0,9.424708791248192e-06,0.0,-2.0,0.0,0.5
fsa,3.0,0.0,0.0,4.25605914793105e-05,0.0,-3.0,0.0,1.0
ft,1.0,3.0,0.0,6.2831391941654625e-06,1.4016284881057144e-05,2.0,0.75,0.25
ftse,6.0,2.0,2.0,0.0,0.0,-4.0,0.2,0.6
fuel,5.0,1.0,5.0,0.0,0.0,-4.0,0.09090909090909091,0.45454545454545453
fuell,0.0,2.0,0.0,0.0,2.531818809868201e-05,2.0,1.0,0.0
