,negative count,postive count,neutral count,negative count idf,postive count idf,p/n difference,p percentage,n percentage
aggreg,23.0,20.0,18.0,0.0,0.0,-3.0,0.32786885245901637,0.3770491803278688
aggress,8.0,1.0,1.0,0.0,0.0,-7.0,0.1,0.8
ago,23.0,21.0,7.0,0.0,0.0,-2.0,0.4117647058823529,0.45098039215686275
agre,77.0,79.0,99.0,0.0,0.0,2.0,0.30980392156862746,0.30196078431372547
agreement,4.0,4.0,14.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182
agricultur,1.0,1.0,0.0,2.4674391034341454e-06,3.5070255333628336e-06,0.0,0.5,0.5
ahead,32.0,35.0,54.0,0.0,0.0,3.0,0.2892561983471074,0.2644628099173554
aid,2.0,0.0,1.0,7.402317310302437e-06,0.0,-2.0,0.0,0.6666666666666666
aim,8.0,0.0,13.0,2.960926924120975e-05,0.0,-8.0,0.0,0.38095238095238093
air,1.0,0.0,1.0,2.4674391034341454e-06,0.0,-1.0,0.0,0.5
airfar,2.0,0.0,0.0,2.0056662334430786e-05,0.0,-2.0,0.0,1.0
airlin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
alan,4.0,8.0,2.0,0.0,0.0,4.0,0.5714285714285714,0.2857142857142857
alarm,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
albeit,6.0,11.0,11.0,0.0,0.0,5.0,0.39285714285714285,0.21428571428571427
alert,2.0,2.0,1.0,0.0,0.0,0.0,0.4,0.4
align,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
allay,0.0,1.0,0.0,0.0,9.502325281704456e-06,1.0,1.0,0.0
allevi,1.0,1.0,6.0,0.0,0.0,0.0,0.125,0.125
alli,1.0,0.0,0.0,1.3371108222953856e-05,0.0,-1.0,0.0,1.0
alloc,1.0,0.0,5.0,2.4674391034341454e-06,0.0,-1.0,0.0,0.16666666666666666
allow,21.0,23.0,16.0,0.0,0.0,2.0,0.38333333333333336,0.35
allsopp,12.0,10.0,2.0,0.0,0.0,-2.0,0.4166666666666667,0.5
almost,4.0,3.0,6.0,0.0,0.0,-1.0,0.23076923076923078,0.3076923076923077
alon,2.0,0.0,0.0,2.0056662334430786e-05,0.0,-2.0,0.0,1.0
along,3.0,4.0,4.0,0.0,0.0,1.0,0.36363636363636365,0.2727272727272727
alongsid,13.0,11.0,26.0,0.0,0.0,-2.0,0.22,0.26
alreadi,53.0,31.0,33.0,0.0,0.0,-22.0,0.26495726495726496,0.452991452991453
also,187.0,172.0,174.0,0.0,0.0,-15.0,0.3227016885553471,0.350844277673546
alter,11.0,17.0,8.0,0.0,0.0,6.0,0.4722222222222222,0.3055555555555556
altern,8.0,4.0,13.0,0.0,0.0,-4.0,0.16,0.32
altho,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
although,172.0,157.0,129.0,0.0,0.0,-15.0,0.34279475982532753,0.37554585152838427
altogeth,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
alway,2.0,4.0,2.0,0.0,0.0,2.0,0.5,0.25
ambigu,0.0,2.0,0.0,0.0,1.9004650563408913e-05,2.0,1.0,0.0
amelior,1.0,0.0,2.0,2.4674391034341454e-06,0.0,-1.0,0.0,0.3333333333333333
amend,1.0,0.0,1.0,2.4674391034341454e-06,0.0,-1.0,0.0,0.5
amid,1.0,1.0,0.0,4.934878206868291e-06,3.5070255333628336e-06,0.0,0.5,0.5
amidst,1.0,0.0,0.0,1.3371108222953856e-05,0.0,-1.0,0.0,1.0
among,20.0,15.0,16.0,0.0,0.0,-5.0,0.29411764705882354,0.39215686274509803
amongst,5.0,2.0,1.0,0.0,0.0,-3.0,0.25,0.625
amount,13.0,11.0,18.0,0.0,0.0,-2.0,0.2619047619047619,0.30952380952380953
amplifi,4.0,1.0,1.0,0.0,0.0,-3.0,0.16666666666666666,0.6666666666666666
analys,3.0,2.0,0.0,9.869756413736582e-06,7.014051066725667e-06,-1.0,0.4,0.6
analysi,23.0,19.0,24.0,0.0,0.0,-4.0,0.2878787878787879,0.3484848484848485
analyt,1.0,0.0,1.0,2.4674391034341454e-06,0.0,-1.0,0.0,0.5
anchor,11.0,23.0,21.0,0.0,0.0,12.0,0.41818181818181815,0.2
andrew,20.0,50.0,21.0,0.0,0.0,30.0,0.5494505494505495,0.21978021978021978
anecdot,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
annex,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
announc,43.0,32.0,61.0,0.0,0.0,-11.0,0.23529411764705882,0.3161764705882353
annual,13.0,9.0,13.0,0.0,0.0,-4.0,0.2571428571428571,0.37142857142857144
annualis,2.0,1.0,4.0,0.0,0.0,-1.0,0.14285714285714285,0.2857142857142857
annuiti,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
annum,0.0,2.0,1.0,0.0,7.014051066725667e-06,2.0,0.6666666666666666,0.0
anoth,20.0,27.0,14.0,0.0,0.0,7.0,0.4426229508196721,0.32786885245901637
anticip,38.0,32.0,38.0,0.0,0.0,-6.0,0.2962962962962963,0.35185185185185186
anyth,13.0,14.0,7.0,0.0,0.0,1.0,0.4117647058823529,0.38235294117647056
anyway,1.0,1.0,0.0,2.4674391034341454e-06,3.5070255333628336e-06,0.0,0.5,0.5
apac,1.0,0.0,1.0,2.4674391034341454e-06,0.0,-1.0,0.0,0.5
apart,1.0,0.0,1.0,4.934878206868291e-06,0.0,-1.0,0.0,0.5
apf,9.0,1.0,6.0,0.0,0.0,-8.0,0.0625,0.5625
appar,14.0,19.0,12.0,0.0,0.0,5.0,0.4222222222222222,0.3111111111111111
appeal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
appear,91.0,94.0,74.0,0.0,0.0,3.0,0.36293436293436293,0.35135135135135137
appetit,1.0,0.0,5.0,4.934878206868291e-06,0.0,-1.0,0.0,0.16666666666666666
appli,1.0,2.0,6.0,0.0,0.0,1.0,0.2222222222222222,0.1111111111111111
applianc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
applic,1.0,2.0,1.0,0.0,0.0,1.0,0.5,0.25
appreci,41.0,34.0,87.0,0.0,0.0,-7.0,0.20987654320987653,0.25308641975308643
approach,10.0,5.0,6.0,0.0,0.0,-5.0,0.23809523809523808,0.47619047619047616
appropri,87.0,103.0,108.0,0.0,0.0,16.0,0.34563758389261745,0.29194630872483224
approv,1.0,2.0,8.0,0.0,0.0,1.0,0.18181818181818182,0.09090909090909091
april,17.0,8.0,14.0,0.0,0.0,-9.0,0.20512820512820512,0.4358974358974359
arbitrari,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
area,89.0,92.0,85.0,0.0,0.0,3.0,0.3458646616541353,0.33458646616541354
argentina,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
argentinian,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
argu,10.0,12.0,8.0,0.0,0.0,2.0,0.4,0.3333333333333333
arguabl,3.0,4.0,2.0,0.0,0.0,1.0,0.4444444444444444,0.3333333333333333
argument,87.0,105.0,34.0,0.0,0.0,18.0,0.4646017699115044,0.38495575221238937
aris,11.0,5.0,4.0,0.0,0.0,-6.0,0.25,0.55
arithmet,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
aros,3.0,2.0,0.0,9.869756413736582e-06,7.014051066725667e-06,-1.0,0.4,0.6
around,114.0,80.0,126.0,0.0,0.0,-34.0,0.25,0.35625
arrang,13.0,8.0,16.0,0.0,0.0,-5.0,0.21621621621621623,0.35135135135135137
array,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
arrear,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
arriv,1.0,1.0,0.0,2.4674391034341454e-06,3.5070255333628336e-06,0.0,0.5,0.5
articl,1.0,2.0,0.0,2.4674391034341454e-06,7.014051066725667e-06,1.0,0.6666666666666666,0.3333333333333333
articul,0.0,1.0,0.0,0.0,9.502325281704456e-06,1.0,1.0,0.0
ascrib,1.0,2.0,2.0,0.0,0.0,1.0,0.4,0.2
asia,8.0,7.0,0.0,2.7141830137775605e-05,2.4549178733539835e-05,-1.0,0.4666666666666667,0.5333333333333333
asian,8.0,6.0,0.0,2.960926924120975e-05,2.1042153200177e-05,-2.0,0.42857142857142855,0.5714285714285714
asid,1.0,2.0,1.0,0.0,0.0,1.0,0.5,0.25
ask,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
aspect,1.0,2.0,5.0,0.0,0.0,1.0,0.25,0.125
aspir,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
ass,53.0,79.0,61.0,0.0,0.0,26.0,0.40932642487046633,0.27461139896373055
assent,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
asset,222.0,224.0,259.0,0.0,0.0,2.0,0.3177304964539007,0.3148936170212766
assist,3.0,0.0,1.0,9.869756413736582e-06,0.0,-3.0,0.0,0.75
associ,42.0,44.0,49.0,0.0,0.0,2.0,0.32592592592592595,0.3111111111111111
assum,51.0,62.0,38.0,0.0,0.0,11.0,0.4105960264900662,0.33774834437086093
assump,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
assumpt,30.0,20.0,27.0,0.0,0.0,-10.0,0.2597402597402597,0.38961038961038963
assur,4.0,3.0,1.0,0.0,0.0,-1.0,0.375,0.5
asymmetr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
attach,14.0,20.0,4.0,0.0,0.0,6.0,0.5263157894736842,0.3684210526315789
attack,6.0,0.0,15.0,1.9739512827473163e-05,0.0,-6.0,0.0,0.2857142857142857
attempt,4.0,5.0,2.0,0.0,0.0,1.0,0.45454545454545453,0.36363636363636365
attend,3.0,1.0,4.0,0.0,0.0,-2.0,0.125,0.375
attent,1.0,2.0,0.0,2.4674391034341454e-06,7.014051066725667e-06,1.0,0.6666666666666666,0.3333333333333333
attenu,4.0,4.0,1.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444
attitud,0.0,1.0,0.0,0.0,9.502325281704456e-06,1.0,1.0,0.0
attract,1.0,1.0,2.0,0.0,0.0,0.0,0.25,0.25
attribut,4.0,0.0,6.0,1.4804634620604874e-05,0.0,-4.0,0.0,0.4
atyp,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
auction,4.0,2.0,2.0,0.0,0.0,-2.0,0.25,0.5
augment,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
augur,0.0,1.0,0.0,0.0,9.502325281704456e-06,1.0,1.0,0.0
august,73.0,124.0,125.0,0.0,0.0,51.0,0.38509316770186336,0.2267080745341615
augustlnfl,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
australia,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
author,9.0,7.0,22.0,0.0,0.0,-2.0,0.18421052631578946,0.23684210526315788
authoris,1.0,0.0,0.0,6.685554111476928e-06,0.0,-1.0,0.0,1.0
auto,0.0,1.0,0.0,0.0,9.502325281704456e-06,1.0,1.0,0.0
automat,4.0,1.0,5.0,0.0,0.0,-3.0,0.1,0.4
